WKT,name,description
"POLYGON ((114.2509465 22.243772, 114.2893986 22.210084, 114.288712 22.2418653, 114.2990117 22.2628371, 114.2832188 22.2768165, 114.2756657 22.2622016, 114.2413334 22.2869825, 114.2248539 22.2825349, 114.2296605 22.2539404, 114.2509465 22.243772))",Eastern Buffer,
"POLYGON ((114.2080453 22.363396, 114.2307046 22.3805401, 114.2386006 22.3951428, 114.2471841 22.4040303, 114.2928319 22.4133599, 114.309998 22.427959, 114.3257908 22.4298631, 114.3244175 22.4438257, 114.3422703 22.4704779, 114.3402104 22.4945872, 114.3347172 22.5079091, 114.2969517 22.4907808, 114.2756657 22.5021999, 114.2598729 22.5015655, 114.2454533 22.5123494, 114.2139304 22.5131759, 114.2090611 22.5098121, 114.205004 22.5036608, 114.127413 22.4852631, 114.0985739 22.4554409, 114.0855276 22.4294206, 114.1205466 22.4091087, 114.1370261 22.3926031, 114.1432059 22.368476, 114.1686118 22.3487902, 114.2080453 22.363396))",Tolo Harbour & Channel,
"POLYGON ((114.1205466 22.4091087, 114.0855276 22.4294206, 114.0628683 22.4192651, 114.0724814 22.4059347, 114.0333426 22.3957774, 114.0271628 22.3576809, 114.0436423 22.3462499, 114.0394597 22.3257335, 114.0535359 22.3219224, 114.1177372 22.2402764, 114.1736989 22.2316961, 114.1699223 22.2386875, 114.1822819 22.2672852, 114.1205466 22.2725611, 114.1123068 22.2839982, 114.1246664 22.3214796, 114.1068137 22.3722858, 114.1205466 22.4091087))",Western Buffer,
"POLYGON ((114.1370261 22.3926031, 114.1205466 22.4091087, 114.1068137 22.3722858, 114.1246664 22.3214796, 114.1123068 22.2839982, 114.1205466 22.2725611, 114.1822819 22.2672852, 114.1991047 22.2628371, 114.2032246 22.2294715, 114.2128376 22.2297893, 114.2145543 22.2390053, 114.2070012 22.2434542, 114.2087178 22.2533049, 114.2197041 22.2552113, 114.2358403 22.2434542, 114.2475132 22.2291536, 114.2427067 22.2405942, 114.2296605 22.2539404, 114.2248539 22.2825349, 114.2413334 22.2869825, 114.2519906 22.3208444, 114.2519906 22.3449798, 114.2234937 22.354189, 114.2119069 22.3677617, 114.1686118 22.3487902, 114.1432059 22.368476, 114.1370261 22.3926031))",Victoria Harbour,
"POLYGON ((114.2832188 22.2768165, 114.285747 22.2976612, 114.2792239 22.3148133, 114.2519906 22.3208444, 114.2413334 22.2869825, 114.2756657 22.2622016, 114.2832188 22.2768165))",Junk Bay,
"POLYGON ((114.2792239 22.3148133, 114.285747 22.2976612, 114.2832188 22.2768165, 114.2990117 22.2628371, 114.3560032 22.3371661, 114.3539433 22.3568535, 114.3443303 22.3657437, 114.331284 22.3847921, 114.3244175 22.4012987, 114.3230443 22.4146295, 114.2928319 22.4133599, 114.2471841 22.4040303, 114.2386006 22.3951428, 114.2307046 22.3805401, 114.2119069 22.3677617, 114.2234937 22.354189, 114.2519906 22.3449798, 114.2519906 22.3208444, 114.2792239 22.3148133))",Port Shelter,
"POLYGON ((113.8287222 22.4059347, 113.901304 22.4070118, 114.0628683 22.4192651, 114.0855276 22.4294206, 114.0985739 22.4554409, 114.127413 22.4852631, 114.205004 22.5036608, 114.2090611 22.5098121, 114.1960148 22.5339146, 114.2028813 22.5580129, 114.177377 22.5569858, 113.9796231 22.5493762, 113.8271878 22.5087846, 113.8287222 22.4059347))",Deep Bay,
"POLYGON ((113.8287222 22.4059347, 113.827277 22.3198504, 113.8121708 22.2537739, 113.8259037 22.1749496, 113.8478763 22.1984744, 113.8526829 22.2067389, 113.8945682 22.2544094, 113.9707859 22.2664833, 114.0009983 22.3046047, 114.0394597 22.3257335, 114.0436423 22.3462499, 114.0271628 22.3576809, 114.0333426 22.3957774, 114.0724814 22.4059347, 114.0628683 22.4192651, 113.901304 22.4070118, 113.8287222 22.4059347))",North Western,
"POLYGON ((113.8259037 22.1749496, 113.8856418 22.1552366, 113.9899969 22.1531434, 114.1197716 22.1554133, 114.3601139 22.1584163, 114.2893986 22.210084, 114.2509465 22.243772, 114.2296605 22.2539404, 114.2427067 22.2405942, 114.2475132 22.2291536, 114.2358403 22.2434542, 114.2197041 22.2552113, 114.2087178 22.2533049, 114.2070012 22.2434542, 114.2145543 22.2390053, 114.2128376 22.2297893, 114.2032246 22.2294715, 114.1991047 22.2628371, 114.1822819 22.2672852, 114.1699223 22.2386875, 114.1736989 22.2316961, 114.1177372 22.2402764, 114.0535359 22.3219224, 114.0394597 22.3257335, 114.0009983 22.3046047, 113.9707859 22.2664833, 113.8945682 22.2544094, 113.8526829 22.2067389, 113.8478763 22.1984744, 113.8259037 22.1749496))",Southern,
"GEOMETRYCOLLECTION (POLYGON ((114.202708 22.5574049, 114.2028813 22.5580129, 114.1987406 22.5567901, 114.202708 22.5574049)), POLYGON ((114.202708 22.5574049, 114.1960148 22.5339146, 114.2090611 22.5098121, 114.2139304 22.5131759, 114.2454533 22.5123494, 114.2598729 22.5015655, 114.2756657 22.5021999, 114.2969517 22.4907808, 114.3347172 22.5079091, 114.3402104 22.4945872, 114.3422703 22.4704779, 114.3244175 22.4438257, 114.3257908 22.4298631, 114.309998 22.427959, 114.2928319 22.4133599, 114.3230443 22.4146295, 114.3244175 22.4012987, 114.331284 22.3847921, 114.3443303 22.3657437, 114.3539433 22.3568535, 114.3560032 22.3371661, 114.2990117 22.2628371, 114.288712 22.2418653, 114.2883478 22.2120365, 114.3601139 22.1584163, 114.4184707 22.1582144, 114.4782052 22.1579924, 114.4926249 22.2876632, 114.4895411 22.3667157, 114.4836985 22.4698887, 114.4788919 22.5200064, 114.4713388 22.5504487, 114.4335733 22.572008, 114.4006144 22.5701059, 114.3511676 22.5688437, 114.2900644 22.5669356, 114.2663698 22.5672566, 114.202708 22.5574049)))",Mirs Bay,
